questions,type,answers
Explain how Python does Compile-time and Run-time code checking?,python,"Python performs some amount of compile-time checking, but most of the checks such as type, name, etc are postponed until code execution."
Whenever Python exists Why does all the memory is not de-allocated / freed when Python exits?,python,"Whenever Python exits, especially those python modules which are having circular references to other objects or the objects that are referenced from the global namespaces are not always de – allocated/freed/uncollectable."
Explain Python's zip() function.?,python,"zip() function- it will take multiple lists say list1, list2, etc and transform them into a single list of tuples by taking the corresponding elements of the lists that are passed as parameters"
Explain Python's pass by references Vs pass by value . (or) Explain about Python's parameter passing mechanism?,python,"In Python, by default, all the parameters (arguments) are passed “by reference” to the functions. "
" As Everything in Python is an Object, Explain the characteristics of Python's Objects.",python,"As Python’s Objects are instances of classes, they are created at the time of instantiation"
Explain how to overload constructors or methods in Python.,python,Python’s constructor – _init__ () is a first method of a class
Which statement of Python is used whenever a statement is required syntactically but the program needs no action?,python,Pass – is no-operation / action statement in Python
What is Web Scraping? How do you achieve it in Python?,python,Web Scrapping is a way of extracting the large amounts of information which is available on the web sites
 What is a Python module?,python,"A module is a Python script that generally contains import statements, functions, classes and variable definitions"
Name the File-related modules in Python?,python,Python provides libraries / modules with functions that enable you to manipulate text files and binary files on file system
Explain the use of with statement in python ?,python,"In python generally “with” statement is used to open a file, process the data present in the file, and also to close the file without calling a close() method"
Explain all the file processing modes supported by Python ?,python,"Python allows you to open files in one of the three modes. They are:  read-only mode, write-only mode, read-write mode,"
"Explain how to redirect the output of a python script from standout(ie., monitor) on to a file ?",python,Open an output file in “write” mode and the print the contents in to that file
Explain the shortest way to open a text file and display its contents.?,python,The shortest way to open a text file is by using “with” command
How do you create a dictionary which can preserve the order of pairs?,python,"We know that regular Python dictionaries iterate over <key, value> pairs in an arbitrary order, hence they do not preserve the insertion order of <key, value> pairs."
When does a dictionary is used instead of a list?,python,"Dictionaries – are best suited when the data is labelled, i.e., the data is a record with field names."
What is the use of enumerate() in Python?,python,Using enumerate() function you can iterate through the sequence and retrieve the index position and its corresponding value at the same time.
 How many kinds of sequences are supported by Python? What are they?,python,"Python supports 7 sequence types. They are str, list, tuple, unicode, bytearray, xrange, and buffer. where xrange is deprecated in python 3.5.X."
What is JSON in python? ,python,JSON – stands for JavaScript Object Notation. It is a popular data format for storing data in NoSQL
What is TkInter?,python,TkInter is Python library. It is a toolkit for GUI development.
 Is Python object oriented?,python,Yes. Python is Object Oriented Programming language
What is a Class? How do you create it in Python?,python,A class is a blue print/ template of code /collection of objects that has same set of attributes and behaviour.
What are Exception Handling? How do you achieve it in Python?,python,Exception Handling prevents the codes and scripts from breaking on receipt of an error at run -time 
 Explain Inheritance in Python with an example.,python,Inheritance allows One class to gain all the members(say attributes and methods) of another class.
What is multithreading in python? Give an example.,python,It means running several different programs at the same time concurrently by invoking multiple threads. 
How instance variables are different from class variables?,python,Instance variables: are the variables in an object that have values that are local to that object. 
Does Python supports interfaces like in Java? Discuss.,python,Python does not provide interfaces like in Java.
"What are Accessors, mutators, @property?",python,Accessors and mutators are often called getters and setters in languages like “Java”.
Differentiate between .py and .pyc files?,python,Both .py and .pyc files holds the byte code. 
How to retrieve data from a table in MySQL database through Python code? ,python, import MySQLdb module as : import MySQLdb
 Explain about ODBC and Python ?,python,"ODBC (“Open Database Connectivity) API standard allows the connections with any database that supports the interface,"
How would you define a protected member in a Python class?,python,You don’t need to define an access specifier for members of class.
How do you remove duplicates from a list?,python,"while scanning from right-to-left, delete all the duplicate elements from the list"
 Differentiate between append() and extend() methods. ?,python,Both append() and extend() methods are the methods of list
Name few Python Web Frameworks for developing web applications?,python,"web2py  , cherryPy  , Flask "
How do you check the file existence and their types in Python?,python,os.path.exists() 
How do you handle the pressure?,management,I stay calm under pressure and handle it well. My complete focus is on the job done.
How do you motivate yourself?,management,"I am very self-motivated. I enjoy my work, so I am always looking for new ideas to bring to the table"
Why are you leaving your current position?,management,"There isn’t much growth opportunity at my current workplace, and I’m ready for a new challenge."
What is the most challenging thing about being a manager?,management,The most challenging thing about being a manager is also the most rewarding. 
 How do you manage your workload?,management,"I prioritize my task by what is most important and urgent to least important and urgent. If there are some tasks that I can assign to others, I will also delegate."
What kind of work environment do you prefer?,management,I am flexible to my work environment. I can adapt according to almost any situation.
Do you take your work home with you?,management,"I know the importance of getting work done in a timely manner. So when I need to, I will take work home with me if needed."
Why did you apply for this position?,management,I wanted to join a company like ABC that values their employees and helps them achieve their potential.
What do you think your employees would say about your management style?,management,They would say that I’m straight-forward and my actions are aligned with the goals of the company. 
What are qualities of a successful manager?,management,A successful manager must also be a leader because that is how you can motivate and influence your employees to perform at their peak ability.
How do you motivate your employees in tough times?,management,"I believe that as a leader, I have to be the one who is constantly driving an atmosphere of positivity and focus"
How do you delegate an important assignment to others while ensuring that it will be completed successfully?,management,I try to match up the strengths of my employees with the task or if it is something they are learning.
 Do you have an example of when you motivated your staff using a reward?,management,I communicated the reward and the goal to the staff and ensured they understood how to win the reward.
What are some of your weaknesses?,management,"I have started multiple projects at one time. I know that it is more productive to complete one task at a time. So anytime I catch myself doing this, I take a step back and prioritize my work."
What type of pace do you work?,management,I keep a steady pace. This way I am being efficient with my time and going at a pace that I do not make mistakes.
What do you think will be the most challenging part of this position?,management,"It will be to build the relationship with my employees because that will take time. However, I also feel it is one of the most rewarding part of this position. I enjoy relationship-building and helping others to achieve their success."
Why should we hire you?,management,"You need a manager who is confident, goal-driven, and can motivate your team. I have those qualities and will be able to take the team to the next level that your organization needs."
How do you keep updated on your management skills?,management,"I continually read a book about the subject matter. I listen to feedback that I receive from my leaders and implement them. When opportunities arise that will provide a challenge to my current skills, I will take on the task."
What do you think are important aspects of a team?,management,To have a diverse group of people who have a basis of trust and respect for each other. The communication level must be high and the ability to work together as a team.
Do you have experience with setting budgets?,management,"Yes, I have set budgets in the past. I look at what the typical cost for a certain activity would be based on history or other manager’s experience. I set the budget based on these metrics."
What was the least rewarding part of your previous position?,management,Some of the paperwork that I would handle for another department on an occasional basis.
What will you contribute to this company?,management,"I will contribute my experience and knowledge. I have vision.  Moreover, I have necessarily experienced in the areas that this company will need to grow and I have a plan that will facilitate that growth."
 What is your greatest strength?,management,"My greatest strength would be my ability to drive my team to excellence. I give them all the tools they need to be successful, communicate on an open level, and constantly evaluate performance."
How would you go about delivering bad news or a decision that will not be popular?,management,"I would state the news, the reasons behind the news/decision, and I would focus on the positives. I would also take time to ask questions or feedback and answer accordingly."
How do you establish rapport with a new employee?,management,I will have an initial one on one meeting with the new employee to let them know what my expectations are and also learn about how they like to be managed. That’s a way I will understand how to be effective when I communicate with them.
How do you communicate an expectation to an employee?,management,"I make sure that there are no distractions when I am speaking to the employee. We will meet on face to face, and I will clearly state what the expectation is. I will ask if they have any questions and ask them to re-state it, so we are on the same page."
How do you go about coaching an employee who is not performing where they need to be?,management,I will go over what the expectation of their performance is and show them where they are currently at. I will ask them what they think they can do to help improve their performance.
