,questions,type,answers
0,explain python compile time run time code checking,python,"Python performs some amount of compile-time checking, but most of the checks such as type, name, etc are postponed until code execution."
1,whenever python exists memory de allocated freed python exits,python,"Whenever Python exits, especially those python modules which are having circular references to other objects or the objects that are referenced from the global namespaces are not always de ? allocated/freed/uncollectable."
2,explain python s zip function,python,"zip() function- it will take multiple lists say list1, list2, etc and transform them into a single list of tuples by taking the corresponding elements of the lists that are passed as parameters"
3,explain python s pass references vs pass value explain python s parameter passing mechanism,python,"In Python, by default, all the parameters (arguments) are passed ?by reference? to the functions. "
4,everything python object explain characteristics python s objects,python,"As Python?s Objects are instances of classes, they are created at the time of instantiation"
5,explain overload constructors methods python,python,Python?s constructor ? _init__ () is a first method of a class
6,statement python used whenever statement required syntactically program needs action,python,Pass ? is no-operation / action statement in Python
7,web scraping achieve python,python,Web Scrapping is a way of extracting the large amounts of information which is available on the web sites
8,python module,python,"A module is a Python script that generally contains import statements, functions, classes and variable definitions"
9,name file related modules python,python,Python provides libraries / modules with functions that enable you to manipulate text files and binary files on file system
10,explain use statement python,python,"In python generally ?with? statement is used to open a file, process the data present in the file, and also to close the file without calling a close() method"
11,explain file processing modes supported python,python,"Python allows you to open files in one of the three modes. They are:  read-only mode, write-only mode, read-write mode,"
12,explain redirect output python script standout ie monitor file,python,Open an output file in ?write? mode and the print the contents in to that file
13,explain shortest way open text file display contents,python,The shortest way to open a text file is by using ?with? command
14,create dictionary preserve order pairs,python,"We know that regular Python dictionaries iterate over <key, value> pairs in an arbitrary order, hence they do not preserve the insertion order of <key, value> pairs."
15,dictionary used instead list,python,"Dictionaries ? are best suited when the data is labelled, i.e., the data is a record with field names."
16,use enumerate python,python,Using enumerate() function you can iterate through the sequence and retrieve the index position and its corresponding value at the same time.
17,many kinds sequences supported python,python,"Python supports 7 sequence types. They are str, list, tuple, unicode, bytearray, xrange, and buffer. where xrange is deprecated in python 3.5.X."
18,json python,python,JSON ? stands for JavaScript Object Notation. It is a popular data format for storing data in NoSQL
19,tkinter,python,TkInter is Python library. It is a toolkit for GUI development.
20,python object oriented,python,Yes. Python is Object Oriented Programming language
21,class create python,python,A class is a blue print/ template of code /collection of objects that has same set of attributes and behaviour.
